Fecha,CPU (%),RAM (%),Disco (%),Subida KB/s,Bajada KB/s
2025-06-13 09:18:17,26.9,81.7,37.2,6.36,12.34
2025-06-13 09:18:23,15.6,81.8,37.2,0.11,20.06
2025-06-13 09:18:29,12.3,81.8,37.2,10.59,20.66
2025-06-13 09:18:35,11.6,81.7,37.2,13.04,9.49
2025-06-13 09:18:41,13.2,81.7,37.2,0.11,20.23
2025-06-13 09:18:47,15.6,82.0,37.2,1.03,13.18
2025-06-13 09:18:53,29.6,83.8,37.2,3.82,49.41
2025-06-13 09:18:59,36.6,85.8,37.2,9.06,179.22
2025-06-13 09:19:05,92.9,88.5,37.2,21.80,368.37
2025-06-13 09:19:11,36.5,87.6,37.2,1.17,11.88
2025-06-13 09:19:17,93.9,89.7,37.2,1.11,11.92
2025-06-13 09:19:24,100.0,92.1,37.2,10.66,269.80
2025-06-13 09:19:30,24.9,85.4,37.2,1.21,11.92
2025-06-13 09:19:36,77.9,85.0,37.2,10.06,50.36
2025-06-13 09:19:54,100.0,87.7,37.2,5.91,36.74
2025-06-13 09:20:06,100.0,90.8,37.2,13.34,412.71
2025-06-13 09:20:13,35.8,89.0,37.2,10.30,21.02
2025-06-13 09:20:19,31.3,88.3,37.2,13.71,184.88
2025-06-13 09:20:46,100.0,88.1,37.2,5.17,64.81
2025-06-13 09:21:00,100.0,88.7,37.2,14.58,23.66
2025-06-13 09:21:20,35.9,88.1,37.2,1.64,14.44
2025-06-13 09:21:26,52.1,87.2,37.2,7.00,16.59
2025-06-13 09:21:32,36.0,87.3,37.2,0.55,17.93
2025-06-13 09:21:39,100.0,87.3,37.2,1.47,40.78
2025-06-13 09:21:54,100.0,87.5,37.2,1.79,34.88
2025-06-13 09:22:00,91.2,87.2,37.2,12.40,22.67
2025-06-13 09:22:07,26.5,87.3,37.2,8.21,32.47
2025-06-13 09:22:13,28.4,87.2,37.2,39.43,5.56
2025-06-13 09:22:19,33.6,87.2,37.2,5.19,2.93
2025-06-13 09:22:25,35.8,87.3,37.2,0.42,14.84
2025-06-13 09:22:31,100.0,87.5,37.2,1.46,50.81
2025-06-13 09:22:48,93.9,87.8,37.2,4.22,26.18
2025-06-13 09:22:54,32.8,87.4,37.2,0.48,8.60
2025-06-13 09:23:00,37.0,87.5,37.2,0.78,11.45
2025-06-13 09:23:07,100.0,87.9,37.2,0.41,6.00
2025-06-13 09:23:15,100.0,87.8,37.2,4.10,27.02
2025-06-13 09:23:22,100.0,87.7,37.2,0.37,20.31
2025-06-13 09:23:29,100.0,87.9,37.2,7.71,26.82
2025-06-13 09:23:35,100.0,88.0,37.2,1.10,15.93
